Rec#,Cyc#,Step,Test (Sec),Step (Sec),Amp-hr,Watt-hr,Amps,Volts,State,ES,DPt Time,ACImp/Ohms,DCIR/Ohms,Aux #1,Units,Aux #2   Units,Aux #3,Units.1,Aux #4,Units.2
1,0,1,0.0,0.0,0.0,0.0,0.0,2.25062943,R,0,10/28/2014 14:10:26,0.0,0.0,-0.00301,V ,-0.00174,V ,-0.00079,V ,-0.00143
2,0,1,30.0,30.0,0.0,0.0,0.0,2.85145342,R,1,10/28/2014 14:10:56,0.0,0.0,-0.00301,V ,-0.00174,V ,-0.00079,V ,-0.00143
3,0,1,60.0,60.0,0.0,0.0,0.0,2.85168231,R,1,10/28/2014 14:11:26,0.0,0.0,-0.00238,V ,-0.0019,V ,-0.00158,V ,-0.0019
4,0,1,90.0,90.0,0.0,0.0,0.0,2.85191119,R,1,10/28/2014 14:11:56,0.0,0.0,0.0,V ,-0.00079,V ,-0.00111,V ,-0.00063
5,0,1,120.0,120.0,0.0,0.0,0.0,2.85214008,R,1,10/28/2014 14:12:26,0.0,0.0,-0.00222,V ,-0.00127,V ,-0.00079,V ,-0.00111
6,0,1,150.0,150.0,0.0,0.0,0.0,2.85214008,R,1,10/28/2014 14:12:56,0.0,0.0,-0.00222,V ,-0.00158,V ,-0.00111,V ,-0.00127
7,0,1,180.0,180.0,0.0,0.0,0.0,2.85214008,R,1,10/28/2014 14:13:26,0.0,0.0,-0.00317,V ,-0.00174,V ,-0.00143,V ,-0.00079
8,0,1,210.0,210.0,0.0,0.0,0.0,2.85214008,R,1,10/28/2014 14:13:56,0.0,0.0,-0.00095,V ,-0.00095,V ,-0.00127,V ,-0.00048
9,0,1,240.0,240.0,0.0,0.0,0.0,2.85214008,R,1,10/28/2014 14:14:26,0.0,0.0,-0.00016,V ,-0.00127,V ,-0.00158,V ,-0.0019
10,0,1,270.0,270.0,0.0,0.0,0.0,2.85214008,R,1,10/28/2014 14:14:56,0.0,0.0,-0.00269,V ,-0.00127,V ,-0.00174,V ,-0.00143
11,0,1,300.0,300.0,0.0,0.0,0.0,2.85214008,R,129,10/28/2014 14:15:26,0.0,0.0,-0.00333,V ,-0.00174,V ,-0.00063,V ,-0.0019
12,0,3,300.02,0.02,1.8989e-06,5.5759e-06,0.7215991455,2.93636988,C,0,10/28/2014 14:15:27,0.0,0.0,-0.00238,V ,-0.00174,V ,-0.00063,V ,-0.00206
13,0,3,300.18,0.18,3.39051e-05,0.0001014552,0.7200732433,3.01647974,C,5,10/28/2014 14:15:27,0.0,0.0,-0.00238,V ,-0.00174,V ,-0.00158,V ,-0.00206
14,0,3,300.29,0.29,5.59029e-05,0.0001680652,0.7200732433,3.03204395,C,5,10/28/2014 14:15:27,0.0,0.0,-0.00238,V ,-0.00174,V ,-0.00158,V ,-0.00206
15,0,3,300.43,0.43,8.39022e-05,0.0002531592,0.7199206531,3.04257267,C,5,10/28/2014 14:15:27,0.0,0.0,-0.00048,V ,-0.00095,V ,-0.00158,V ,-0.00206
16,0,3,300.61,0.61,0.0001199024,0.0003628946,0.7201495384,3.05127031,C,5,10/28/2014 14:15:27,0.0,0.0,-0.00048,V ,-0.00095,V ,-0.00143,V ,-0.00158
17,0,3,300.82,0.82,0.0001619008,0.0004912406,0.7199206531,3.05905241,C,5,10/28/2014 14:15:28,0.0,0.0,-0.00048,V ,-0.00095,V ,-0.00143,V ,-0.00158
18,0,3,301.07,1.07,0.000211902,0.0006444104,0.7201495384,3.06637675,C,5,10/28/2014 14:15:28,0.0,0.0,-0.00032,V ,-0.00079,V ,-0.00079,V ,-0.00158
19,0,3,301.36,1.36,0.0002698992,0.000822482,0.7201495384,3.07301442,C,5,10/28/2014 14:15:28,0.0,0.0,-0.00032,V ,-0.00079,V ,-0.00079,V ,-0.00095
20,0,3,301.66,1.66,0.0003298969,0.0010071018,0.7203021286,3.07988098,C,5,10/28/2014 14:15:28,0.0,0.0,-0.00032,V ,-0.00111,V ,-0.00079,V ,-0.00174
